# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.82331333893437,4.921661467254559,-179.10295556587272,0,3.0,20.67818135444135,0.0,0.0,0.0
 0.030514453438314656,2.8219168123087344,4.921639600917876,-179.10295556587272,0.09154336031494395,2.9999999999999996,20.67818135444135,0.0,129.2300000767753,0.0
 0.04356464933814136,2.820468166041825,4.92157423577239,-177.41647874873618,0.13069394801442405,2.999999999999999,18.3540654280479,0.0,150.9186319450517,0.0
 0.053857857678403113,2.8189679000191474,4.921465722614947,-175.86304182769848,0.1615735730352093,2.999999999999999,16.33773302226287,0.0,160.8955216634882,0.0
 0.06276809438789595,2.8174165141262058,4.921314412242391,-174.42942464417945,0.1883042831636878,2.999999999999999,14.585899915626602,0.0,164.61605032033026,0.0
 0.07082104648759688,2.8158145082485038,4.921120655451568,-173.10377947610792,0.21246313946279058,2.9999999999999982,13.060959762352235,0.0,164.6055416479299,0.0
 0.07828284950022885,2.814162382271546,4.920884803039322,-171.87552534954347,0.23484854850068648,3.0,11.73054306849405,0.0,162.2830102369223,0.0
 0.08530942052385924,2.812460636080837,4.920607205802501,-170.7352322521852,0.2559282615715777,3.0000000000000058,10.56695769569783,0.0,158.52039777498663,0.0
 0.09200084687107446,2.8107097695618815,4.920288214537948,-169.6745046859426,0.2760025406132234,3.000000000000002,9.546602772227441,0.0,153.88010444245984,0.0
 0.0984255537855134,2.8089102826001837,4.919928180042508,-168.68587011493656,0.29527666135654024,3.0000000000000044,8.64940662550452,0.0,148.73504416815194,0.0
 0.10463252951909646,2.8070626750812475,4.919527453113027,-167.7626753050514,0.31389758855728944,3.0000000000000044,7.85831375276091,0.0,143.33621202750655,0.0
 0.11065810658111629,2.8051674468905783,4.919086384546349,-166.89899191370165,0.33197431974334896,3.000000000000007,7.158830633256776,0.0,137.85351931524227,0.0
 0.11652999323806129,2.803225097913679,4.918605325139321,-166.08953167302158,0.349589979714184,3.000000000000002,6.538631548296509,0.0,132.401720491754,0.0
 0.12226980359326466,2.801236128036055,4.918084625688787,-165.3295709066963,0.36680941077979407,2.999999999999998,5.987220958806406,0.0,127.0574653188834,0.0
 0.12789471601952976,2.7992010371432103,4.917524636991592,-164.61488379117432,0.38368414805858936,2.9999999999999973,5.4956469089846065,0.0,121.87080846296398,0.0
 0.1334185998097189,2.79712032512065,4.916925709844583,-163.9416836078085,0.40025579942915684,3.00000000000001,5.056259158105612,0.0,116.87312969211706,0.0
 0.1388528038005584,2.7949944918538776,4.9162881950446025,-163.30657118001372,0.4165584114016754,3.00000000000001,4.662505826505669,0.0,112.08266445673254,0.0
 0.1442067225817284,2.7928240372283986,4.915612443388498,-162.70648969773526,0.43262016774518536,2.9999999999999947,4.308762817153858,0.0,107.5084092711782,0.0
 0.14948821198564116,2.7906094611297165,4.914898805673112,-162.13868517333802,0.4484646359569236,2.9999999999999893,3.9901908617652455,0.0,103.15290200093469,0.0
 0.15470389981153715,2.788351263443335,4.914147632695293,-161.60067183816588,0.46411169943461156,3.0,3.702615765290741,0.0,99.01421346399445,0.0
 0.15985942209353945,2.78604994405476,4.913359275251884,-161.09020185441733,0.47957826628061845,2.9999999999999947,3.4424280191394714,0.0,95.08737910351448,0.0
 0.16495960541103036,2.783706002849495,4.912534084139731,-160.60523878980965,0.49487881623309116,3.0,3.2064985922036464,0.0,91.36543047724483,0.0
 0.17000860941432358,2.781319939713044,4.911672410155679,-160.14393436556745,0.5100258282429707,2.999999999999978,2.992108185490109,0.0,87.84013790852568,0.0
 0.17501003955964634,2.778892254530913,4.910774604096573,-159.70460805186244,0.525030118678939,3.0000000000000053,2.796887710136399,0.0,84.5025439494033,0.0
 0.17996703722574453,2.7764234471886047,4.909841016759257,-159.28572913872586,0.5399011116772335,2.999999999999989,2.618768117281501,0.0,81.3433445188244,0.0
 0.18488235244150214,2.7739140175716246,4.90887199894058,-158.88590095971188,0.5546470573245064,3.0,2.455938027978252,0.0,78.35315881632924,0.0
 0.18975840309247283,2.771364465565477,4.907867901437383,-158.50384698865992,0.5692752092774185,3.0000000000000115,2.3068078702265313,0.0,75.52271771864847,0.0
 0.19459732350455408,2.768775291055665,4.906829075046513,-158.1383985683153,0.5837919705136623,3.0000000000000058,2.169979468542158,0.0,72.84299278531459,0.0
 0.19940100460254812,2.7661469939276944,4.905755870564815,-157.78848406075116,0.5982030138076444,3.0000000000000058,2.044220189063879,0.0,70.3052815181056,0.0
 0.20417112732835904,2.763480074067069,4.904648638789134,-157.4531192396371,0.6125133819850772,3.0000000000000058,1.9284409155356836,0.0,67.9012609794759,0.0
 0.20890919062332103,2.760775031359293,4.903507730516316,-157.1313987673086,0.6267275718699631,2.9999999999999822,1.8216772412515811,0.0,65.62301825089338,0.0
 0.21361653499413205,2.7580323656898713,4.902333496543206,-156.82248862174964,0.6408496049823962,3.0000000000000058,1.7230733750486762,0.0,63.46306435262146,0.0
 0.21829436246594436,2.7552525769443084,4.9011262876666475,-156.52561935587556,0.6548830873978331,2.9999999999999942,1.6318683323416687,0.0,61.4143362055219,0.0
 0.22294375356102564,2.7524361650081084,4.899886454683488,-156.24008008801127,0.668831260683077,3.000000000000012,1.5473840689561897,0.0,59.47019045461825,0.0
 0.22756568181397768,2.7495836297667755,4.898614348390571,-155.96521313454065,0.6826970454419331,3.0,1.4690152498930833,0.0,57.624391378576185,0.0
